latitude;longitude;elevacao;diff_elev;distancias;soma_elev;soma_dist;km_group;desnivel_positivo;desnivel_negativo
-22.392423;-44.954914;1042.2;0.3;2.9;27.4;1367.39;2;0.3;0
-22.392427;-44.954887;1042.5;0.3;2.81;27.7;1370.2;2;0.3;0
-22.392431;-44.954859;1042.8;0.3;2.91;28;1373.11;2;0.3;0
-22.392435;-44.954832;1043.2;0.4;2.81;28.4;1375.92;2;0.4;0
-22.392432;-44.954807;1043.4;0.2;2.59;28.6;1378.51;2;0.2;0
-22.39243;-44.954783;1043.7;0.3;2.48;28.9;1380.99;2;0.3;0
-22.392428;-44.954758;1044;0.3;2.58;29.2;1383.57;2;0.3;0
-22.392425;-44.954734;1044.3;0.3;2.49;29.5;1386.06;2;0.3;0
-22.392432;-44.954719;1044.5;0.2;1.73;29.7;1387.79;2;0.2;0
-22.392439;-44.954704;1044.7;0.2;1.73;29.9;1389.52;2;0.2;0
-22.392445;-44.95469;1044.9;0.2;1.59;30.1;1391.11;2;0.2;0
-22.392452;-44.954675;1045.2;0.3;1.73;30.4;1392.84;2;0.3;0
-22.392459;-44.95466;1045.4;0.2;1.73;30.6;1394.57;2;0.2;0
-22.392465;-44.954646;1045.6;0.2;1.59;30.8;1396.16;2;0.2;0
-22.392477;-44.954625;1045.9;0.3;2.54;31.1;1398.7;2;0.3;0
-22.392489;-44.954604;1046.3;0.4;2.54;31.5;1401.24;2;0.4;0
-22.3925;-44.954584;1046.6;0.3;2.39;31.8;1403.63;2;0.3;0
-22.392512;-44.954563;1046.9;0.3;2.54;32.1;1406.17;2;0.3;0
-22.392523;-44.954543;1047.2;0.3;2.39;32.4;1408.56;2;0.3;0
-22.392527;-44.954517;1047.5;0.3;2.71;32.7;1411.27;2;0.3;0
-22.392531;-44.954492;1047.8;0.3;2.61;33;1413.88;2;0.3;0
-22.392535;-44.954467;1048.1;0.3;2.61;33.3;1416.49;2;0.3;0
-22.392538;-44.954442;1048.4;0.3;2.59;33.6;1419.08;2;0.3;0
-22.392519;-44.954409;1048.7;0.3;4;33.9;1423.08;2;0.3;0
-22.3925;-44.954376;1049;0.3;4;34.2;1427.08;2;0.3;0
-22.39248;-44.954344;1049.3;0.3;3.97;34.5;1431.05;2;0.3;0
-22.392489;-44.954324;1049.5;0.2;2.29;34.7;1433.34;2;0.2;0
-22.392497;-44.954305;1049.6;0.1;2.15;34.8;1435.49;2;0.1;0
-22.392506;-44.954285;1049.8;0.2;2.29;35;1437.78;2;0.2;0
-22.392514;-44.954266;1049.9;0.1;2.15;35.1;1439.93;2;0.1;0
-22.392522;-44.954247;1050.1;0.2;2.15;35.3;1442.08;2;0.2;0
-22.392538;-44.95425;1050.2;0.1;1.81;35.4;1443.89;2;0.1;0
-22.392553;-44.954254;1050.3;0.1;1.72;35.5;1445.61;2;0.1;0
-22.392568;-44.954258;1050.4;0.1;1.72;35.6;1447.33;2;0.1;0
-22.392583;-44.954262;1050.5;0.1;1.72;35.7;1449.05;2;0.1;0
-22.392598;-44.954266;1050.6;0.1;1.72;35.8;1450.77;2;0.1;0
-22.392613;-44.95427;1050.7;0.1;1.72;35.9;1452.49;2;0.1;0
-22.392632;-44.954277;1050.9;0.2;2.23;36.1;1454.72;2;0.2;0
-22.392652;-44.954284;1051;0.1;2.34;36.2;1457.06;2;0.1;0
-22.392671;-44.954291;1051.2;0.2;2.23;36.4;1459.29;2;0.2;0
-22.39269;-44.954298;1051.3;0.1;2.23;36.5;1461.52;2;0.1;0
-22.392709;-44.954305;1051.5;0.2;2.23;36.7;1463.75;2;0.2;0
-22.392731;-44.954305;1051.6;0.1;2.45;36.8;1466.2;2;0.1;0
-22.392753;-44.954305;1051.8;0.2;2.45;37;1468.65;2;0.2;0
-22.392776;-44.954305;1051.9;0.1;2.56;37.1;1471.21;2;0.1;0
-22.392798;-44.954305;1052.1;0.2;2.45;37.3;1473.66;2;0.2;0
-22.392821;-44.954306;1052.3;0.2;2.56;37.5;1476.22;2;0.2;0
-22.392851;-44.954307;1052.5;0.2;3.34;37.7;1479.56;2;0.2;0
-22.392881;-44.954309;1052.7;0.2;3.34;37.9;1482.9;2;0.2;0
-22.392911;-44.954311;1052.9;0.2;3.34;38.1;1486.24;2;0.2;0
-22.392934;-44.954307;1053.1;0.2;2.59;38.3;1488.83;2;0.2;0
-22.392958;-44.954302;1053.3;0.2;2.72;38.5;1491.55;2;0.2;0
-22.392981;-44.954298;1053.5;0.2;2.59;38.7;1494.14;2;0.2;0
-22.393005;-44.954294;1053.6;0.1;2.7;38.8;1496.84;2;0.1;0
-22.393027;-44.954286;1053.8;0.2;2.58;39;1499.42;2;0.2;0
-22.39305;-44.954277;1054;0.2;2.72;39.2;1502.14;2;0.2;0
-22.393073;-44.954269;1054.2;0.2;2.69;39.4;1504.83;2;0.2;0
-22.393096;-44.954261;1054.4;0.2;2.69;39.6;1507.52;2;0.2;0
-22.393117;-44.954256;1054.6;0.2;2.39;39.8;1509.91;2;0.2;0
-22.393138;-44.954251;1054.8;0.2;2.39;40;1512.3;2;0.2;0
-22.393159;-44.954246;1055.1;0.3;2.39;40.3;1514.69;2;0.3;0
-22.39318;-44.954241;1055.3;0.2;2.39;40.5;1517.08;2;0.2;0
-22.393201;-44.954236;1055.5;0.2;2.39;40.7;1519.47;2;0.2;0
-22.393227;-44.954237;1055.8;0.3;2.89;41;1522.36;2;0.3;0
-22.393254;-44.954237;1056.1;0.3;3;41.3;1525.36;2;0.3;0
-22.393281;-44.954238;1056.4;0.3;3;41.6;1528.36;2;0.3;0
-22.393308;-44.954239;1056.6;0.2;3;41.8;1531.36;2;0.2;0
-22.393334;-44.954243;1056.9;0.3;2.92;42.1;1534.28;2;0.3;0
-22.39336;-44.954247;1057.2;0.3;2.92;42.4;1537.2;2;0.3;0
-22.393386;-44.954251;1057.5;0.3;2.92;42.7;1540.12;2;0.3;0
-22.393412;-44.954255;1057.8;0.3;2.92;43;1543.04;2;0.3;0
-22.393431;-44.95426;1058.1;0.3;2.17;43.3;1545.21;2;0.3;0
-22.393451;-44.954264;1058.3;0.2;2.26;43.5;1547.47;2;0.2;0
-22.39347;-44.954269;1058.5;0.2;2.17;43.7;1549.64;2;0.2;0
-22.39349;-44.954273;1058.8;0.3;2.26;44;1551.9;2;0.3;0
-22.39351;-44.954278;1059;0.2;2.28;44.2;1554.18;2;0.2;0
-22.393529;-44.954292;1059.2;0.2;2.56;44.4;1556.74;2;0.2;0
-22.393548;-44.954307;1059.4;0.2;2.62;44.6;1559.36;2;0.2;0
-22.393567;-44.954321;1059.6;0.2;2.56;44.8;1561.92;2;0.2;0
-22.393587;-44.954336;1059.8;0.2;2.71;45;1564.63;2;0.2;0
-22.393613;-44.95435;1060;0.2;3.23;45.2;1567.86;2;0.2;0
-22.393639;-44.954365;1060.2;0.2;3.28;45.4;1571.14;2;0.2;0
-22.393665;-44.954379;1060.3;0.1;3.23;45.5;1574.37;2;0.1;0
-22.393692;-44.954394;1060.5;0.2;3.38;45.7;1577.75;2;0.2;0
-22.393708;-44.954414;1060.5;0;2.72;45.7;1580.47;2;0;0
-22.393725;-44.954435;1060.6;0.1;2.87;45.8;1583.34;2;0.1;0
-22.393742;-44.954455;1060.7;0.1;2.79;45.9;1586.13;2;0.1;0
-22.393759;-44.954476;1060.8;0.1;2.87;46;1589;2;0.1;0
-22.393773;-44.954503;1060.8;0;3.18;46;1592.18;2;0;0
-22.393787;-44.95453;1060.9;0.1;3.18;46.1;1595.36;2;0.1;0
-22.393801;-44.954558;1061;0.1;3.27;46.2;1598.63;2;0.1;0
-22.393815;-44.954585;1061.1;0.1;3.18;46.3;1601.81;2;0.1;0
-22.393833;-44.954607;1061.1;0;3.02;46.3;1604.83;2;0;0
-22.393851;-44.954629;1061.2;0.1;3.02;46.4;1607.85;2;0.1;0
-22.393869;-44.954651;1061.3;0.1;3.02;46.5;1610.87;2;0.1;0
-22.393887;-44.954673;1061.4;0.1;3.02;46.6;1613.89;2;0.1;0
